Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1849.25
FDW14,OUT017,1579.25
NCN55,OUT010,1839.25
FDQ58,OUT017,2603.25
FDY38,OUT027,5187.25
FDH56,OUT046,1943.25
FDL48,OUT018,581.25
FDC48,OUT027,2787.25
FDN33,OUT045,1529.5
FDA36,OUT017,3099.25
FDT44,OUT017,2011.25
FDQ56,OUT045,1337.5
NCC54,OUT019,1859.25
FDU11,OUT049,2057.25
DRL59,OUT013,835.75
FDM24,OUT049,2553.25
FDI57,OUT045,3105.5
DRC12,OUT018,2717.25
NCM42,OUT027,3171.25
FDA46,OUT010,1139.25
FDA31,OUT013,2787.75
NCJ31,OUT035,3867.25
FDG52,OUT046,823.25
NCL19,OUT019,355.25
FDS10,OUT035,3035.25
FDX22,OUT010,1451.25
NCF19,OUT035,907.25
NCE06,OUT046,2527.25
DRC27,OUT046,3839.25
FDE21,OUT035,2043.25
NCR42,OUT019,-1364.75
FDX51,OUT018,2849.25
NCR06,OUT018,381.25
FDU31,OUT027,4947.25
FDU59,OUT017,2731.25
FDR03,OUT027,4755.25
FDS49,OUT027,2771.25
FDD48,OUT010,-72.75
NCF18,OUT017,3099.25
NCD43,OUT027,3075.25
NCD54,OUT018,1941.25
FDY19,OUT010,-40.75
NCY54,OUT017,2811.25
NCL19,OUT018,1969.25
FDP23,OUT010,1531.25
FDC26,OUT013,1803.75
FDR14,OUT010,-1016.75
NCS41,OUT035,3011.25
FDF41,OUT035,4075.25
FDU34,OUT046,2023.25
DRH11,OUT046,927.25
FDM03,OUT013,1715.75
FDS31,OUT017,3035.25
FDJ20,OUT017,2107.25
FDV44,OUT027,4499.25
FDG02,OUT049,3113.25
FDA09,OUT013,2891.75
FDT04,OUT013,659.75
FDL58,OUT019,2323.25
FDE52,OUT045,1465.5
FDW12,OUT035,2515.25
FDL51,OUT017,3563.25
NCY42,OUT027,3651.25
FDR07,OUT017,1683.25
FDN40,OUT045,2393.5
FDB35,OUT027,2963.25
FDA22,OUT017,2763.25
NCL06,OUT046,4103.25
FDI35,OUT013,2891.75
NCW42,OUT045,3401.5
NCX06,OUT049,2905.25
FDC37,OUT027,3203.25
FDZ14,OUT018,1717.25
DRG49,OUT049,3929.25
NCG06,OUT045,3945.5
DRC36,OUT045,2713.5
FDV21,OUT019,107.25
FDB53,OUT046,2383.25
DRP47,OUT019,2043.25
FDA14,OUT013,2323.75
DRC24,OUT035,2555.25
FDW21,OUT018,1389.25
NCH29,OUT046,1543.25
FDU58,OUT013,3051.75
FDY27,OUT017,2955.25
FDV56,OUT035,1963.25
FDT59,OUT046,3679.25
FDB23,OUT046,3631.25
FDR49,OUT045,729.5
FDB03,OUT010,1919.25
FDN39,OUT045,2633.5
FDX02,OUT027,4995.25
FDQ16,OUT027,3203.25
FDU35,OUT018,1321.25
NCT29,OUT013,1907.75
FDZ27,OUT046,839.25
FDN57,OUT017,2363.25
FDA03,OUT018,2073.25
FDZ36,OUT045,2945.5
NCU05,OUT013,1267.75
FDT39,OUT018,2173.25
FDK60,OUT017,1723.25
FDZ25,OUT017,2851.25
FDG12,OUT046,2031.25
DRB01,OUT019,1115.25
NCC43,OUT027,5347.25
FDX13,OUT019,2059.25
FDM22,OUT049,1033.25
FDJ03,OUT027,2307.25
FDU14,OUT018,3661.25
FDB33,OUT010,627.25
FDP27,OUT046,3039.25
FDO38,OUT010,-668.75
FDE28,OUT027,5155.25
FDO27,OUT035,1723.25
DRL23,OUT027,3139.25
FDS28,OUT046,991.25
FDX24,OUT013,1515.75
FDZ02,OUT035,1763.25
FDL46,OUT045,1833.5
FDS60,OUT027,4307.25
NCO06,OUT017,619.25
FDO16,OUT035,1547.25
FDC60,OUT049,1545.25
FDA48,OUT018,3189.25
FDZ36,OUT027,4451.25
FDK27,OUT045,1897.5
FDW23,OUT018,377.25
FDM14,OUT018,1497.25
FDM14,OUT013,1755.75
FDW60,OUT018,2585.25
FDE21,OUT013,1883.75
NCM42,OUT035,1867.25
FDY59,OUT010,-384.75
DRI49,OUT049,1353.25
FDT28,OUT019,547.25
FDQ22,OUT018,393.25
FDR60,OUT049,1337.25
FDC50,OUT019,-356.75
FDV24,OUT013,2427.75
DRF48,OUT010,1039.25
FDQ47,OUT046,671.25
DRN36,OUT049,1625.25
NCY06,OUT035,2155.25
FDE52,OUT035,1659.25
NCB54,OUT045,1929.5
NCF31,OUT035,2539.25
FDJ08,OUT027,4467.25
NCC07,OUT017,1771.25
NCD19,OUT027,2291.25
FDL46,OUT049,2009.25
FDM20,OUT045,3849.5
NCI06,OUT010,891.25
DRM11,OUT035,4211.25
NCH07,OUT018,2169.25
FDS23,OUT013,2075.75
FDO49,OUT018,581.25
FDS35,OUT049,1177.25
DRK39,OUT045,1257.5
DRI39,OUT049,1017.25
FDV04,OUT017,2667.25
NCN14,OUT035,2987.25
FDH08,OUT013,3675.75
FDS20,OUT046,2935.25
FDV40,OUT049,1337.25
FDZ48,OUT010,-144.75
FDS24,OUT027,2915.25
FDK44,OUT049,2857.25
FDS48,OUT045,2361.5
FDK26,OUT010,1099.25
FDD23,OUT045,2985.5
NCH54,OUT017,2627.25
NCP14,OUT010,-272.75
FDM60,OUT010,-1200.75
FDV24,OUT017,2531.25
FDH08,OUT018,3345.25
FDS12,OUT027,3491.25
FDR39,OUT027,4323.25
FDP12,OUT027,2131.25
DRF60,OUT027,5155.25
FDC09,OUT035,1859.25
FDF50,OUT018,2857.25
FDG28,OUT035,4059.25
NCE19,OUT017,979.25
NCM53,OUT010,-236.75
NCN18,OUT049,1817.25
FDF32,OUT035,3315.25
FDF11,OUT013,3843.75
DRI59,OUT049,3625.25
NCG54,OUT035,2795.25
FDM44,OUT046,1663.25
FDT57,OUT018,3453.25
FDV24,OUT046,2431.25
FDI50,OUT019,1787.25
FDS09,OUT035,1051.25
NCC31,OUT027,3859.25
FDQ07,OUT019,1635.25
FDC22,OUT017,3195.25
FDZ56,OUT046,2719.25
FDZ40,OUT019,-964.75
FDS46,OUT027,3395.25
DRD24,OUT045,2161.5
FDV45,OUT017,3123.25
FDL26,OUT045,2433.5
FDA56,OUT018,1701.25
FDN27,OUT046,1919.25
FDM20,OUT049,3977.25
FDO16,OUT017,1483.25
FDL03,OUT035,3307.25
FDE58,OUT046,1903.25
FDI02,OUT027,3299.25
NCC55,OUT019,-1268.75
FDR03,OUT018,3017.25
FDB14,OUT017,1643.25
FDR45,OUT013,3819.75
NCN07,OUT017,2139.25
FDM51,OUT019,-164.75
FDT52,OUT027,5363.25
FDL26,OUT046,2479.25
NCZ42,OUT046,3743.25
DRI47,OUT019,419.25
FDW40,OUT013,2299.75
FDN34,OUT046,2751.25
FDS01,OUT035,3003.25
NCG55,OUT045,1761.5
FDC11,OUT035,1563.25
FDX35,OUT018,3333.25
NCB06,OUT046,2511.25
FDR09,OUT019,2227.25
FDC53,OUT017,1699.25
FDY45,OUT013,4043.75
FDA22,OUT010,763.25
FDE02,OUT035,1691.25
FDW21,OUT045,1633.5
FDV34,OUT046,1271.25
FDS59,OUT049,1897.25
NCW17,OUT017,2115.25
NCK54,OUT046,1847.25
FDG17,OUT019,2035.25
FDG35,OUT017,2915.25
FDD08,OUT010,-1256.75
NCO07,OUT017,3411.25
FDJ10,OUT010,379.25
FDW36,OUT017,1803.25
FDW21,OUT010,-228.75
FDY19,OUT017,2019.25
DRE03,OUT013,755.75
NCC55,OUT049,697.25
FDH52,OUT010,-820.75
FDO09,OUT017,4323.25
FDU43,OUT045,3769.5
