Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Item_Visibility_MeanRatio,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA15,9.3,0.016047301,249.8092,OUT049,3735.138,0.23020206869305873,14,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRC01,5.92,0.019278216,48.2692,OUT018,443.4228,0.27655025626500207,4,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDN15,17.5,0.016760075,141.618,OUT049,2097.27,0.24042696877504924,14,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDX07,19.2,0.017834337888888892,182.095,OUT010,732.38,0.2558375066182918,15,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
NCD19,8.93,0.009779828555555557,53.8614,OUT013,994.7052,0.14029379550818782,26,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDP36,10.395,0.057058688875,51.4008,OUT018,556.6088,0.8185194641727364,4,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO10,13.65,0.012741088999999999,57.6588,OUT013,343.5528,0.18277372906524125,26,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDP10,12.792854228644991,0.127469857,107.7622,OUT027,4022.7636,1.8285831852601488,28,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
FDH17,16.2,0.016687114,96.9726,OUT045,1076.5986,0.23938032715388724,11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDU28,19.2,0.09444959,187.8214,OUT017,4710.535,1.3549001794888271,6,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDY07,11.8,0.040626524444444444,45.5402,OUT049,1516.0266,0.5827964447678915,14,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDA03,18.5,0.045463773,144.1102,OUT046,2187.153,0.6521878411323891,16,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDX32,15.1,0.1000135,145.4786,OUT049,1589.2646,1.434715694385818,14,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,0.047257328,119.6782,OUT046,2145.2076,0.6779167827977058,16,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,0.06802430000000001,196.4426,OUT013,1977.4260000000002,0.9758235719138837,26,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,0.06908896099999999,56.3614,OUT046,1547.3192,0.9910963685453432,16,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,0.008596051,115.3492,OUT018,1621.8888,0.12331224564124749,4,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
